stop_id,stop_name,stop_lat,stop_lon,route_type,wheelchair_boarding
JMLI4,Jean Moulin,47.20730336,-1.59999685,3,1
TBCH2,Trébuchet,47.22018202,-1.54688371,3,1
EGLI3,Égalité,47.20934095,-1.58710367,3,1
MCHA3,Mairie de Chantenay,47.20693687,-1.58821867,3,1
BLVU2,Mendès France - Bellevue,47.20889327,-1.61131174,0,1
PROU1,Pont Rousseau - Martyrs,47.1918891,-1.54820284,0,1
RAGO2,Ragon,47.16535357,-1.5424837,3,1
SVAU1,Savaudière,47.28923657,-1.51501614,3,2
HBDE2,Halbarderie,47.26837047,-1.43808288,3,1
GBTA1,Grande-Bretagne,47.26219833,-1.5023067,3,2
SOUI4,Souillarderie,47.23784581,-1.51571317,3,1
FADI2,Fardière,47.19814875,-1.60521069,3,1
AVEN2,Aveneaux,47.23283954,-1.63053322,3,1
RSRA1,Roseraie,47.26087454,-1.52835473,3,1
PTQQ1,Portricq,47.26524637,-1.52173261,3,1
MICH1,Michelet - Sciences,47.23535874,-1.55653219,0,1
ABDU1,Abel Durand,47.22021763,-1.60339294,3,1
MDAR2,Maison des Arts,47.211911,-1.61749986,3,1
AEPO1,D2A - Aéroport,47.15686225,-1.59741579,3,2
SPIN2,Saupin,47.2143335,-1.53737288,3,2
XBO59,Croix Bonneau,47.2094081,-1.59638864,3,1
PTRI2,Patouillerie,47.24544743,-1.58074734,3,1
LION1,Lionnière,47.21822104,-1.69626742,3,1
REDR2,Rédras,47.16457807,-1.50201474,3,2
BCNY3,Bas-Chantenay,47.1983862,-1.58796689,3,2
FRAC2,Frachon,47.21916013,-1.62074582,0,1
CLOT2,Clotais,47.1930111,-1.71822262,3,1
ADPI1,Avenue des Pins,47.2532589,-1.59659981,3,1
MDRE1,Madoire,47.26505485,-1.63890636,3,2
CLPT2,Clépettre,47.29667711,-1.54706585,3,1
FMIT2,François Mitterrand,47.22210178,-1.63857119,0,1
JNAI2,Jaunaie,47.21960813,-1.72732129,3,1
MBRU2,Moulin Brûlé,47.25941448,-1.65455915,3,1
SUCO1,Surcouf,47.26841713,-1.44512766,3,2
NOAH2,Noë St Jean,47.21917869,-1.73502173,3,1
MRTE2,Marterie,47.17926412,-1.53178253,3,1
BROS2,Brossais,47.16245679,-1.58560857,3,2
DOTT1,Douettée,47.20773953,-1.49828602,3,1
MTLI2,Martellière,47.19916262,-1.5264616,3,2
STH58,Alexandre Vincent - Ste-Thérèse,47.23274913,-1.57747675,3,2
LEVO1,Levoyer,47.19442286,-1.58099009,3,1
COME2,Commerce,47.21434554,-1.55572619,0,1
CCRE1,Chêne Creux,47.17045652,-1.54876905,3,1
ECHO3,Échoppes,47.14305747,-1.68650981,3,1
PERR1,Perray,47.24753547,-1.51413107,3,2
VSCO1,Vincent Scotto,47.2516446,-1.56596162,3,2
CSMP2,Casimir Perier,47.23120464,-1.56865519,3,2
CHPO2,Champonnière,47.16352336,-1.50568819,3,2
CRBE1,Corberie,47.15204168,-1.5241037,3,1
ADPI3,Avenue des Pins,47.25370314,-1.5977556,3,1
RCUU2,Rochu,47.2151108,-1.66655824,3,1
RGNI2,Reigniers,47.13713485,-1.46602599,3,2
VEIE2,Verrière,47.27682302,-1.57071054,3,2
CACE3,Centre de Carquefou,47.29655836,-1.49092862,3,1
GMAR9,Gare Maritime,47.20592555,-1.57274186,4,1
STXU2,St-Exupéry,47.15294271,-1.59487536,3,2
BARR2,La Barre,47.3087951,-1.38151453,3,2
ZOLA2,Zola,47.21370205,-1.58472294,3,2
TNVA1,Terres Neuvas,47.18594043,-1.5904776,3,2
DIDE1,Espace Diderot,47.18446244,-1.56229519,0,1
NOSH1,Noëlles,47.2402027,-1.60424648,3,1
GTVE2,Gaston Veil,47.21014781,-1.55561116,3,1
TML59,Tourmaline,47.22141698,-1.63230648,3,1
PSC59,Plaisance,47.24039406,-1.59156565,3,1
SADU2,Santos Dumont,47.25935534,-1.56792556,0,1
POMM2,Pommeraie,47.14594794,-1.69534038,3,1
CRSA1,Croissant,47.24042307,-1.53052133,3,1
EGAN1,Eglantine,47.23518001,-1.5881015,3,1
POLE1,Poulenc,47.25539512,-1.581258,3,2
PTVI2,Patis Viaud,47.138726,-1.45741169,3,2
BPTY1,Boulay Paty,47.22886156,-1.5762905,3,1
BGUT1,Louis Breguet,47.27201167,-1.46599732,3,1
PB1B6,Parc de la Bouvre,47.17669668,-1.61333376,3,1
FATA2,Fantaisie,47.25262588,-1.56815635,3,2
AUFR1,L'Aufrère,47.16734102,-1.52513142,3,2
GMA98,Gare Maritime,47.2070398,-1.57334929,3,1
DRLA1,Drouillard,47.1795971,-1.67751514,3,2
BEMZ4,Belges - Montbazon,47.23558764,-1.54113534,3,1
BOTI1,Boutière,47.157997,-1.46807489,3,2
THAT1,Théatre,47.2157276,-1.72872663,3,2
CHRE2,Chalâtres,47.231025,-1.53877622,3,1
RCAS2,René Cassin,47.26422697,-1.57592759,0,1
BDAN4,Bd des Anglais,47.22617423,-1.5831212,3,1
BLNO1,Bois de La Noé,47.14188109,-1.6715894,3,2
CIVL1,Circuit du Vallon,47.27364742,-1.44741776,3,2
NCTE2,Noé Cottée,47.19451463,-1.47946124,3,1
BOUE1,Bio Ouest Laënnec,47.23275471,-1.6418808,3,2
SBSA1,St-Jean-Baptiste de la Salle,47.23346567,-1.55991441,3,1
DCF58,Du Chaffault,47.20756176,-1.58184631,3,1
SAGL2,St-Aignan de Grand Lieu,47.12298497,-1.63468604,3,1
VGAC2,Vincent Gâche,47.20634369,-1.54820945,0,1
CACE1,Centre de Carquefou,47.29714506,-1.4901287,3,1
GERA1,Géraudière,47.26175705,-1.56711137,3,2
NETR7,Neustrie,47.17718383,-1.59274934,3,1
MRZE2,Marzilles,47.18272461,-1.47575822,3,2
VEXP2,Village Expo,47.21466281,-1.61513213,3,1
BANS1,Bois des Anses,47.24718695,-1.49477063,3,1
CCHA1,Couchant,47.27020292,-1.51366167,3,1
HERM2,Hermeland,47.23066805,-1.61718609,3,2
RREN3,Rond-Point de Rennes,47.23307783,-1.56605476,3,1
EVRD1,Evardière,47.29883604,-1.56615513,3,2
VEIE1,Verrière,47.27687581,-1.57048148,3,2
